Time [s],Channel 6
10.232160000,1
10.232178000,0
10.232220000,1
10.232238000,0
10.232280000,1
10.232298000,0
10.232340000,1
10.232358000,0
10.232400000,1
10.232418000,0
10.232460000,1
10.232478000,0
10.232520000,1
10.232538000,0
10.232580000,1
10.232598000,0
10.232640000,1
10.232658000,0
10.232700000,1
10.232718000,0
10.232760000,1
10.232778000,0
10.232820000,1
10.232838000,0
10.232880000,1
10.232898000,0
10.232940000,1
10.232958000,0
10.233000000,1
10.233018000,0
10.233060000,1
10.233078000,0
10.233120000,1
10.233138000,0
10.233180000,1
10.233198000,0
10.233240000,1
10.233258000,0
10.233300000,1
10.233318000,0
10.233360000,1
10.233378000,0
10.233420000,1
10.233438000,0
10.233480000,1
10.233498000,0
10.233542000,1
10.233558000,0
10.233600000,1
10.233618000,0
10.233660000,1
10.233678000,0
10.233720000,1
10.233738000,0
10.233780000,1
10.233798000,0
10.233846000,1
10.233864000,0
10.233900000,1
10.233918000,0
10.233960000,1
10.233978000,0
10.234020000,1
10.234038000,0
10.234080000,1
10.234098000,0
10.234140000,1
10.234158000,0
10.234200000,1
10.234218000,0
10.234260000,1
10.234278000,0
10.234320000,1
10.234338000,0
10.234380000,1
10.234398000,0
10.234440000,1
10.234458000,0
10.234500000,1
10.234518000,0
10.234560000,1
10.234578000,0
10.234620000,1
10.234638000,0
10.234680000,1
10.234698000,0
10.234740000,1
10.234758000,0
10.234802000,1
10.234818000,0
10.234860000,1
10.234878000,0
10.234922000,1
10.234938000,0
10.234982000,1
10.234998000,0
10.235042000,1
10.235058000,0
10.235102000,1
10.235118000,0
10.235162000,1
10.235178000,0
10.235222000,1
10.235238000,0
10.235282000,1
10.235300000,0
10.235342000,1
10.235360000,0
10.235402000,1
10.235420000,0
10.235462000,1
10.235478000,0
10.235522000,1
10.235540000,0
10.235582000,1
10.235600000,0
10.235642000,1
10.235660000,0
10.235702000,1
10.235720000,0
10.235762000,1
10.235780000,0
10.235822000,1
10.235840000,0
10.235882000,1
10.235900000,0
10.235942000,1
10.235960000,0
10.236002000,1
10.236020000,0
10.236062000,1
10.236080000,0
10.236122000,1
10.236140000,0
10.236182000,1
10.236200000,0
10.236242000,1
10.236260000,0
10.236302000,1
10.236320000,0
10.236362000,1
10.236380000,0
10.236422000,1
10.236440000,0
10.236482000,1
10.236500000,0
10.236542000,1
10.236560000,0
10.236602000,1
10.236620000,0
10.236662000,1
10.236680000,0
10.236722000,1
10.236740000,0
10.236782000,1
10.236800000,0
10.236842000,1
10.236860000,0
10.236902000,1
10.236920000,0
10.236962000,1
10.236980000,0
10.237022000,1
10.237040000,0
10.237082000,1
10.237100000,0
10.237142000,1
10.237160000,0
10.237202000,1
10.237220000,0
10.237262000,1
10.237280000,0
10.237322000,1
10.237340000,0
10.237382000,1
10.237400000,0
10.237442000,1
10.237460000,0
10.237502000,1
10.237520000,0
10.237562000,1
10.237580000,0
10.237622000,1
10.237640000,0
10.237682000,1
10.237700000,0
10.237742000,1
10.237760000,0
10.237802000,1
10.237820000,0
10.237862000,1
10.237880000,0
10.237922000,1
10.237940000,0
10.237982000,1
10.238000000,0
10.238042000,1
10.238060000,0
10.238102000,1
10.238120000,0
10.238162000,1
10.238180000,0
10.238222000,1
10.238240000,0
10.238282000,1
10.238300000,0
10.238342000,1
10.238360000,0
10.238402000,1
10.238420000,0
10.238464000,1
10.238482000,0
10.238524000,1
10.238542000,0
10.238584000,1
10.238600000,0
10.238642000,1
10.238660000,0
10.238702000,1
10.238720000,0
10.238764000,1
10.238780000,0
10.238824000,1
10.238840000,0
10.238884000,1
10.238900000,0
10.238944000,1
10.238960000,0
10.239004000,1
10.239020000,0
10.239064000,1
10.239080000,0
10.239124000,1
10.239140000,0
10.239184000,1
10.239200000,0
10.239244000,1
10.239260000,0
10.239304000,1
10.239320000,0
10.239364000,1
10.239382000,0
10.239424000,1
10.239442000,0
10.239484000,1
10.239502000,0
10.239544000,1
10.239562000,0
10.239604000,1
10.239622000,0
10.239664000,1
10.239682000,0
10.239724000,1
10.239742000,0
10.239784000,1
10.239802000,0
10.239844000,1
10.239862000,0
10.239904000,1
10.239922000,0
10.239964000,1
10.239982000,0
10.240024000,1
10.240042000,0
10.240084000,1
10.240102000,0
10.240144000,1
10.240162000,0
10.240204000,1
10.240222000,0
10.240264000,1
10.240282000,0
10.240324000,1
10.240342000,0
10.240384000,1
10.240402000,0
10.240444000,1
10.240462000,0
10.240504000,1
10.240522000,0
10.240564000,1
10.240582000,0
10.240624000,1
10.240642000,0
10.240684000,1
10.240702000,0
10.240744000,1
10.240762000,0
10.240804000,1
10.240822000,0
10.240864000,1
10.240882000,0
10.240924000,1
10.240942000,0
10.240984000,1
10.241002000,0
10.241044000,1
10.241062000,0
10.241104000,1
10.241122000,0
10.241164000,1
10.241182000,0
10.241224000,1
10.241242000,0
10.241284000,1
10.241302000,0
10.241344000,1
10.241362000,0
10.241404000,1
10.241422000,0
10.241464000,1
10.241482000,0
10.241524000,1
10.241542000,0
10.241584000,1
10.241602000,0
10.241646000,1
10.241662000,0
10.241706000,1
10.241722000,0
10.241764000,1
10.241782000,0
10.241824000,1
10.241842000,0
10.241884000,1
10.241902000,0
10.241944000,1
10.241962000,0
10.242004000,1
10.242022000,0
10.242064000,1
10.242082000,0
10.242124000,1
10.242142000,0
10.242184000,1
10.242202000,0
10.242244000,1
10.242262000,0
10.242304000,1
10.242322000,0
10.242364000,1
10.242382000,0
10.242424000,1
10.242442000,0
10.242484000,1
10.242502000,0
10.242544000,1
10.242562000,0
10.242606000,1
10.242622000,0
10.242666000,1
10.242682000,0
10.242726000,1
10.242742000,0
10.242786000,1
10.242802000,0
10.242846000,1
10.242862000,0
